Curr,Trade Time,Effective Date,Expiration Date,Rate 1,DV01
USD,07/11/2024 10:21:24,07/31/2024,09/18/2024,5.3353 ,"10,054.331 "
USD,07/11/2024 10:21:24,07/31/2024,09/18/2024,5.3348 ,"10,054.3211 "
USD,07/11/2024 10:21:24,07/31/2024,09/18/2024,5.3333 ,"10,054.2915 "
GBP,07/11/2024 10:17:33,08/01/2024,09/19/2024,5.085 ,"21,602.393 "
GBP,07/11/2024 09:27:00,08/01/2024,09/19/2024,5.0625 ,"19,822.3508 "
GBP,07/11/2024 09:24:31,08/01/2024,09/19/2024,5.049 ,"19,821.9825 "
GBP,07/11/2024 09:23:48,08/01/2024,09/19/2024,5.087 ,"21,602.4003 "
GBP,07/11/2024 09:22:52,08/01/2024,09/19/2024,5.1035 ,"19,824.0491 "
GBP,07/11/2024 09:16:31,08/01/2024,09/19/2024,5.0922 ,"21,602.5644 "
AUD,07/11/2024 09:10:12,08/07/2024,09/25/2024,4.4175 ,"11,359.6851 "
GBP,07/11/2024 08:58:22,09/19/2024,11/07/2024,4.984 ,"21,169.4879 "
AUD,07/11/2024 08:55:05,08/07/2024,09/25/2024,4.4199 ,"11,359.7751 "
NZD,07/11/2024 08:52:01,10/10/2024,11/28/2024,5.236 ,"12,226.0739 "
GBP,07/11/2024 08:49:26,08/01/2024,09/19/2024,5.0877 ,"1,982.344 "
GBP,07/11/2024 08:40:58,09/19/2024,11/07/2024,4.981 ,"21,169.5349 "
AUD,07/11/2024 08:39:45,08/07/2024,09/25/2024,4.4193 ,"4,361.5154 "
JPY,07/11/2024 08:03:47,11/01/2024,12/19/2024,0.2368 ,"4,457,599.00 "
GBP,07/11/2024 07:58:51,08/01/2024,09/19/2024,5.0782 ,"1,982.384 "
GBP,07/11/2024 07:50:09,08/01/2024,09/19/2024,5.079 ,"6,607.961 "
AUD,07/11/2024 07:22:52,08/07/2024,09/25/2024,4.4275 ,"11,360.0469 "
NZD,07/11/2024 05:14:08,10/10/2024,11/28/2024,5.38 ,"12,233.3335 "
NZD,07/11/2024 02:13:32,02/20/2025,04/10/2025,4.61 ,"7,950.9103 "
NZD,07/11/2024 01:52:26,02/20/2025,04/10/2025,4.61 ,"11,680.8668 "
NZD,07/11/2024 01:52:26,10/10/2024,11/28/2024,5.22 ,"12,131.4585 "
NZD,07/11/2024 01:37:25,02/20/2025,04/10/2025,4.60 ,"7,946.6786 "
NZD,07/11/2024 01:07:29,10/10/2024,11/28/2024,5.37 ,"8,334.348 "
USD,07/11/2024 13:36:14,09/18/2024,11/07/2024,5.1135 ,"20,079.9736 "
USD,07/11/2024 13:34:50,09/18/2024,11/07/2024,5.1299 ,"4,953.1471 "
USD,07/11/2024 13:26:03,09/18/2024,11/07/2024,5.1655 ,"28,116.574 "
USD,07/11/2024 13:09:01,09/18/2024,11/07/2024,5.15 ,"24,091.3021 "
USD,07/11/2024 12:53:39,09/18/2024,11/07/2024,5.1638 ,"28,106.4701 "
USD,07/11/2024 12:49:45,09/18/2024,11/07/2024,5.15 ,"24,091.1694 "
USD,07/11/2024 12:21:16,09/18/2024,11/07/2024,5.163 ,"20,077.257 "
USD,07/11/2024 12:20:45,09/18/2024,11/07/2024,5.1615 ,"10,038.5563 "
USD,07/11/2024 11:32:44,09/18/2024,11/07/2024,5.1525 ,"24,091.8861 "
USD,07/11/2024 11:21:52,09/18/2024,11/07/2024,5.163 ,"28,108.4207 "
USD,07/11/2024 10:38:08,09/18/2024,11/07/2024,5.211 ,"28,121.9236 "
USD,07/11/2024 10:32:32,09/18/2024,11/07/2024,5.156 ,"28,107.5381 "
USD,07/11/2024 10:14:38,09/18/2024,11/07/2024,5.161 ,"16,061.8022 "
USD,07/11/2024 09:54:01,09/18/2024,11/07/2024,5.1745 ,"28,109.0902 "
USD,07/11/2024 08:23:22,09/18/2024,11/07/2024,5.1573 ,"10,038.4547 "
JPY,07/11/2024 08:03:47,08/01/2024,09/20/2024,0.133 ,"4,650,321.00 "
USD,07/11/2024 04:38:31,09/18/2024,11/07/2024,5.1671 ,"1,338.4895 "
EUR,07/11/2024 13:23:43,10/23/2024,12/18/2024,3.418 ,"24,025.8352 "
EUR,07/11/2024 13:19:18,10/23/2024,12/18/2024,3.42 ,"9,760.6462 "
EUR,07/11/2024 13:18:29,10/23/2024,12/18/2024,3.42 ,"29,118.8457 "
EUR,07/11/2024 12:52:10,10/23/2024,12/18/2024,3.417 ,"24,025.9077 "
EUR,07/11/2024 12:39:54,10/23/2024,12/18/2024,3.417 ,"29,118.4721 "
EUR,07/11/2024 12:12:23,10/23/2024,12/18/2024,3.417 ,"29,118.69 "
EUR,07/11/2024 11:33:31,10/23/2024,12/18/2024,3.415 ,"29,118.3475 "
EUR,07/11/2024 11:33:24,10/23/2024,12/18/2024,3.415 ,"29,118.7313 "
EUR,07/11/2024 11:24:45,07/24/2024,09/18/2024,3.6643 ,"7,708.6916 "
EUR,07/11/2024 10:57:54,10/23/2024,12/18/2024,3.416 ,"3,453.7781 "
EUR,07/11/2024 09:55:15,07/24/2024,09/18/2024,3.663 ,"29,896.3627 "
EUR,07/11/2024 09:00:30,07/24/2024,09/18/2024,3.664 ,"23,125.9706 "
EUR,07/11/2024 08:48:24,07/24/2024,09/18/2024,3.664 ,"20,042.5079 "
EUR,07/11/2024 07:56:41,07/24/2024,09/18/2024,3.6633 ,"6,475.2795 "
NZD,07/11/2024 03:47:01,08/15/2024,10/10/2024,5.465 ,"8,245.0502 "
USD,07/11/2024 13:11:30,07/15/2024,09/15/2024,5.34 ,"36,377.7869 "
USD,07/11/2024 08:10:00,07/15/2024,09/15/2024,5.338 ,"2,078.7266 "
GBP,07/11/2024 08:07:44,07/15/2024,09/16/2024,5.1195 ,358.6883 
AUD,07/11/2024 07:11:37,12/11/2024,02/19/2025,4.465 ,"15,298.794 "
